YEAR,FIPSSTCO,COUNTYNAME,ATTRIBUTES,MEASURE,VALUE
YR_2011,00000,,US Total,Total number of discharges,38466652.5289890990
YR_2011,00000,,US Total,Rate of discharges per 100000 population,12382.6041073421
YR_2011,00000,,US Total,Mean length of stay days,4.5337503125
YR_2011,00000,,US Total,Aggregate number of days in the hospital,174398197.9236420100
YR_2011,00000,,US Total,Number of inpatient days per 100000 population,56139.6352410681
YR_2011,00000,,US Total,Mean cost per stay $,10108.9199370941
YR_2011,00000,,US Total,Aggregate costs for all hospital stays $,388856310663.5679900000
YR_2011,00000,,US Total,Costs for inpatient stays per capita $,1251.7475353385
YR_2011,06000,,State Total,Total number of discharges,3835439.1531196302
YR_2011,06000,,State Total,Rate of discharges per 100000 population,10232.1952925543
YR_2011,06000,,State Total,Mean length of stay days,4.4058272980
YR_2011,06000,,State Total,Aggregate number of days in the hospital,16898138.6017927010
YR_2011,06000,,State Total,Number of inpatient days per 100000 population,45080.9013913198
YR_2011,06000,,State Total,Mean cost per stay $,13253.1806088852
YR_2011,06000,,State Total,Aggregate costs for all hospital stays $,50720492179.7274020000
YR_2011,06000,,State Total,Costs for inpatient stays per capita $,1353.1227079833
YR_2011,06083,Santa Barbara,Santa Barbara,Total number of discharges,37562.0000000000
YR_2011,06083,Santa Barbara,Santa Barbara,Rate of discharges per 100000 population,9048.8602801239
YR_2011,06083,Santa Barbara,Santa Barbara,Mean length of stay days,4.3855814195
YR_2011,06083,Santa Barbara,Santa Barbara,Aggregate number of days in the hospital,164731.2092781070
YR_2011,06083,Santa Barbara,Santa Barbara,Number of inpatient days per 100000 population,39684.5135118854
YR_2011,06083,Santa Barbara,Santa Barbara,Mean cost per stay $,12769.7954232636
YR_2011,06083,Santa Barbara,Santa Barbara,Aggregate costs for all hospital stays $,479659055.6886280200
YR_2011,06083,Santa Barbara,Santa Barbara,Costs for inpatient stays per capita $,1155.5209459088
YR_2011,06083,Santa Barbara,Age group=<1,Total number of discharges,6150.0000000000
YR_2011,06083,Santa Barbara,Age group=<1,Rate of discharges per 100000 population,97402.5974025974
YR_2011,06083,Santa Barbara,Age group=<1,Mean length of stay days,3.4650406504
YR_2011,06083,Santa Barbara,Age group=<1,Aggregate number of days in the hospital,21310.0000000000
YR_2011,06083,Santa Barbara,Age group=<1,Number of inpatient days per 100000 population,337503.9594551790
YR_2011,06083,Santa Barbara,Age group=<1,Mean cost per stay $,4966.8607750938
YR_2011,06083,Santa Barbara,Age group=<1,Aggregate costs for all hospital stays $,30546193.7668269980
YR_2011,06083,Santa Barbara,Age group=<1,Costs for inpatient stays per capita $,4837.8514043122
YR_2011,06083,Santa Barbara,Age group=1-17,Total number of discharges,1529.0000000000
YR_2011,06083,Santa Barbara,Age group=1-17,Rate of discharges per 100000 population,1583.2582605904
YR_2011,06083,Santa Barbara,Age group=1-17,Mean length of stay days,2.9136690647
YR_2011,06083,Santa Barbara,Age group=1-17,Aggregate number of days in the hospital,4455.0000000000
YR_2011,06083,Santa Barbara,Age group=1-17,Number of inpatient days per 100000 population,4613.0906153894
YR_2011,06083,Santa Barbara,Age group=1-17,Mean cost per stay $,10050.5478076175
YR_2011,06083,Santa Barbara,Age group=1-17,Aggregate costs for all hospital stays $,15367287.5978471000
YR_2011,06083,Santa Barbara,Age group=1-17,Costs for inpatient stays per capita $,159.1261283987
YR_2011,06083,Santa Barbara,Age group=18-44,Total number of discharges,9760.0000000000
YR_2011,06083,Santa Barbara,Age group=18-44,Rate of discharges per 100000 population,6125.6511642503
YR_2011,06083,Santa Barbara,Age group=18-44,Mean length of stay days,3.1481291943
YR_2011,06083,Santa Barbara,Age group=18-44,Aggregate number of days in the hospital,30725.7409362793
YR_2011,06083,Santa Barbara,Age group=18-44,Number of inpatient days per 100000 population,19284.3412642185
YR_2011,06083,Santa Barbara,Age group=18-44,Mean cost per stay $,8531.3909160442
YR_2011,06083,Santa Barbara,Age group=18-44,Aggregate costs for all hospital stays $,83266375.3405918030
YR_2011,06083,Santa Barbara,Age group=18-44,Costs for inpatient stays per capita $,522.6032469754
YR_2011,06083,Santa Barbara,Age group=45-64,Total number of discharges,7310.0000000000
YR_2011,06083,Santa Barbara,Age group=45-64,Rate of discharges per 100000 population,7492.5945286635
YR_2011,06083,Santa Barbara,Age group=45-64,Mean length of stay days,4.8138352959
YR_2011,06083,Santa Barbara,Age group=45-64,Aggregate number of days in the hospital,35189.1360130310
YR_2011,06083,Santa Barbara,Age group=45-64,Number of inpatient days per 100000 population,36068.1159999498
YR_2011,06083,Santa Barbara,Age group=45-64,Mean cost per stay $,18522.3314023352
YR_2011,06083,Santa Barbara,Age group=45-64,Aggregate costs for all hospital stays $,135398242.5510700000
YR_2011,06083,Santa Barbara,Age group=45-64,Costs for inpatient stays per capita $,1387.8031892323
YR_2011,06083,Santa Barbara,Age group=65-84,Total number of discharges,12809.0000000000
YR_2011,06083,Santa Barbara,Age group=65-84,Rate of discharges per 100000 population,23153.5374715303
YR_2011,06083,Santa Barbara,Age group=65-84,Mean length of stay days,5.7004709446
